"Tidstämpel","Participant ID
Can be seen in the macOS app","Which physical input method did you prefer?","Why?","Which physical input method did you experience being easier to estimate accuracy with?","Why?","Which physical input method did you find most comfortable?","Why?","Which wearable devices do you have experience using, if any?","Imagine a scenario where you are experiencing symptoms of anxiety throughout a period of time.

You are asked by a health care provider to track the occurrences and severity (on a scale between 0-10) of your symptoms.

You have different analog and digital solutions offered to complete this task.

Notebook 
You write entries in a notebook, making sure to include date, time and severity of your symptom.

App on mobile
On each occurrence you open an app on your mobile phone to record severity of your symptom. Date and time is automatically recorded.

App on smart watch
On each occurrence you open an app on your smart watch to record severity of your symptom. Date and time is automatically recorded.

Physical device with arm elevation (adjusting pitch)
On each occurrence you elevate your arm to indicate severity, and press the button to record. Date and time is automatically recorded.

Physical device with wrist rotation (adjusting roll)
On each occurrence you rotate your arm to indicate severity, and press the button to record. Date and time is automatically recorded.

Which solution would you prefer to apply?"
"2024/06/24 11:32:37 fm EEST","1","Arm elevation (adjusting pitch)","It was harder to adjust the difference in level ","Arm elevation (adjusting pitch)","Because it was easier to adjust","Arm elevation (adjusting pitch)","It was easier to access the button ","I don't use wearable devices","Physical device with arm elevation (adjusting pitch)"
"2024/06/24 2:31:17 em EEST","2","Arm elevation (adjusting pitch)","There is more variety of movement","Arm elevation (adjusting pitch)","There is more variety of movement. ","Arm elevation (adjusting pitch)","There is more variety of movement. Mainly because it was easier to fulfil the required task, assuming that was the experiment.","VR, Spacial Computing (e.g. Meta Quest, Vision Pro);I don't use wearable devices","App on smart watch"
"2024/06/24 4:16:12 em EEST","3","Arm elevation (adjusting pitch)","","Arm elevation (adjusting pitch)","","Wrist rotation (adjusting roll)","","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin)","App on smart watch"
"2024/06/24 5:29:26 em EEST","4","Wrist rotation (adjusting roll)","Its bit easier to assess what I saw on the screen, and the arm is not hurting while using this method","Wrist rotation (adjusting roll)","I just find it easier to adjust measurements this way","Wrist rotation (adjusting roll)","I didnt have to move my arm to much back and forth","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin)","App on smart watch"
"2024/06/25 11:56:31 fm EEST","5","Arm elevation (adjusting pitch)","it was easier to find position","Arm elevation (adjusting pitch)","bigger scale","Arm elevation (adjusting pitch)","it was easier to find specific number or color","I don't use wearable devices","Physical device with arm elevation (adjusting pitch)"
"2024/06/25 12:24:35 em EEST","6","Arm elevation (adjusting pitch)","More precise and easier to work with. ","Arm elevation (adjusting pitch)","Larger scale and more space for finer margins ","Wrist rotation (adjusting roll)","My shoulder got soar from the roations ","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin);Fitness trackers (e.g. Fitbit);Smart glasses (e.g. Meta-Ray-Ban);VR, Spacial Computing (e.g. Meta Quest, Vision Pro)","Physical device with wrist rotation (adjusting roll)"
"2024/06/25 12:43:50 em EEST","7","Arm elevation (adjusting pitch)","I felt it was much more accurate to estimate by arm, since you have a higher scale ","Arm elevation (adjusting pitch)","^^","Wrist rotation (adjusting roll)","Not as ""heavy""","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin);VR, Spacial Computing (e.g. Meta Quest, Vision Pro)","App on mobile"
"2024/06/25 1:27:11 em EEST","8","Arm elevation (adjusting pitch)","I felt like I could be more precise","Arm elevation (adjusting pitch)","the movement are is bigger so you at least feel like you can move more even when you get small ranges between the numbers","Wrist rotation (adjusting roll)","adjusting pitch made my hand hurt a little bit. Wrist rotation is more static","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin);Fitness trackers (e.g. Fitbit)","App on mobile"
"2024/06/25 1:58:31 em EEST","9","Arm elevation (adjusting pitch)","Pitch felt like it had much more room for precision while the roll often felt very similar in my positions.","Arm elevation (adjusting pitch)","Pitch felt like it had much more room for precision while the roll often felt very similar in my positions.","Wrist rotation (adjusting roll)","Roll is more discreet","Smart watches (e.g. Apple Watch, Pixel Watch, Garmin);Smart glasses (e.g. Meta-Ray-Ban);VR, Spacial Computing (e.g. Meta Quest, Vision Pro)","Physical device with wrist rotation (adjusting roll)"
"2024/06/25 2:17:57 em EEST","10","Wrist rotation (adjusting roll)","more convenient","Arm elevation (adjusting pitch)","more range","Wrist rotation (adjusting roll)","comfortable","I don't use wearable devices","App on mobile"
